Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Martin Brodeur,NJD,35,77,2.17,0.92,44,27,168,1921,2089,4,4635,0,4,4,6
Evgeni Nabokov,SJS,32,77,2.14,0.91,46,21,163,1639,1802,6,4561,0,2,2,12
Ryan Miller,BUF,27,76,2.64,0.906,36,27,197,1907,2104,3,4474,0,1,1,6
Miikka Kiprusoff,CGY,31,76,2.69,0.906,39,26,197,1899,2096,2,4398,0,2,2,8
Roberto Luongo,VAN,28,73,2.38,0.917,35,29,168,1861,2029,6,4233,0,3,3,4
Henrik Lundqvist,NYR,25,72,2.23,0.912,37,24,160,1663,1823,10,4305,0,0,0,2
Tomas Vokoun,FLA,31,69,2.68,0.919,30,29,180,2033,2213,4,4031,0,6,6,4
Cam Ward,CAR,23,69,2.75,0.904,37,25,180,1690,1870,4,3930,0,1,1,4
Vesa Toskala,TOR,30,66,2.74,0.904,33,25,175,1649,1824,3,3837,0,5,5,4
Manny Legace,STL,34,66,2.41,0.911,27,25,147,1501,1648,5,3666,0,2,2,4
Ilya Bryzgalov,PHX,27,64,2.44,0.92,28,25,147,1682,1829,3,3614,0,0,0,2
Rick DiPietro,NYI,26,63,2.82,0.902,26,28,174,1605,1779,3,3707,0,6,6,18
Marty Turco,DAL,32,62,2.32,0.909,32,21,140,1403,1543,3,3629,0,3,3,16
Martin Biron,PHI,30,62,2.59,0.918,30,20,153,1712,1865,5,3539,0,1,1,8
Niklas Bäckström,MIN,29,58,2.31,0.92,33,13,131,1498,1629,4,3409,0,0,0,2
Jean-Sebastien Giguere,ANA,30,58,2.12,0.922,35,17,117,1391,1508,4,3310,0,0,0,4
Tim Thomas,BOS,33,57,2.44,0.921,28,19,136,1595,1731,3,3342,0,0,0,2
Martin Gerber,OTT,33,57,2.72,0.91,30,18,145,1474,1619,2,3197,0,2,2,6
Olaf Kölzig,WSH,37,54,2.91,0.893,25,21,153,1270,1423,1,3154,0,2,2,8
Pascal Leclaire,CBJ,25,54,2.25,0.919,24,17,112,1267,1379,9,2986,0,2,2,2
José Théodore,COL,31,53,2.44,0.91,28,21,123,1244,1367,3,3028,0,2,2,2
Cristobal Huet,WSH,32,52,2.32,0.92,32,14,118,1361,1479,4,3049,0,2,2,0
Chris Mason,NSH,31,51,2.9,0.898,18,22,130,1148,1278,4,2692,0,1,1,0
Nikolai Khabibulin,CHI,34,50,2.63,0.909,23,20,127,1262,1389,2,2892,0,2,2,4
Kari Lehtonen,ATL,24,48,2.9,0.916,17,22,131,1429,1560,4,2707,0,2,2,4
Mathieu Garon,EDM,29,47,2.66,0.913,26,18,118,1241,1359,4,2658,0,0,0,8
Johan Holmqvist,DAL,29,47,3.04,0.889,21,16,129,1035,1164,2,2549,0,1,1,0
Jason LaBarbera,LAK,27,45,3.0,0.91,17,23,121,1220,1341,1,2421,0,0,0,2
Dan Ellis,NSH,27,44,2.34,0.924,23,10,87,1060,1147,6,2229,0,0,0,0
Chris Osgood,DET,35,43,2.09,0.914,27,9,84,892,976,4,2409,0,3,3,0
Dwayne Roloson,EDM,38,43,3.05,0.901,15,17,119,1085,1204,0,2340,0,1,1,2
Carey Price,MTL,20,41,2.56,0.92,24,12,103,1179,1282,3,2413,0,2,2,0
Dominik Hasek,DET,42,41,2.14,0.902,27,10,84,771,855,5,2350,0,1,1,12
Fredrik Norrena,CBJ,34,37,2.73,0.896,10,19,89,767,856,2,1960,0,1,1,0
Johan Hedberg,ATL,34,36,3.46,0.892,14,15,111,915,1026,1,1927,0,1,1,16
Peter Budaj,COL,25,35,2.57,0.903,16,10,82,767,849,0,1912,0,1,1,2
Marc-Andre Fleury,PIT,23,35,2.33,0.921,19,10,72,837,909,4,1857,0,1,1,0
Mike Smith,TBL,25,34,2.59,0.901,15,19,84,764,848,3,1946,0,1,1,12
Ty Conklin,PIT,31,33,2.51,0.923,18,8,78,935,1013,2,1866,0,1,1,4
Patrick Lalime,CHI,33,32,2.82,0.897,16,12,86,749,835,1,1828,0,0,0,8
Alex Auld,BOS,26,32,2.68,0.907,12,13,77,750,827,3,1722,0,0,0,0
Ray Emery,OTT,25,31,3.13,0.89,12,13,88,712,800,0,1689,0,0,0,6
Josh Harding,MIN,23,29,2.94,0.908,11,15,77,761,838,1,1571,0,1,1,0
Antero Niittymäki,PHI,27,28,2.91,0.907,12,9,69,670,739,1,1424,0,0,0,0
Dany Sabourin,PIT,27,24,2.75,0.904,10,9,57,539,596,2,1242,0,0,0,2
Jonas Hiller,ANA,25,23,2.06,0.927,10,7,42,536,578,0,1223,0,1,1,0
Hannu Toivonen,STL,23,23,3.44,0.878,6,10,69,497,566,0,1202,0,0,0,2
Karri Rämö,TBL,21,22,3.03,0.899,7,11,64,568,632,0,1269,0,1,1,4
Mikael Tellqvist,PHX,28,22,2.74,0.908,9,8,56,551,607,2,1224,0,1,1,2
Wade Dubielewicz,NYI,28,20,2.7,0.919,9,9,51,576,627,0,1132,0,0,0,0
Brent Johnson,WSH,30,19,2.67,0.908,7,8,46,454,500,0,1032,0,0,0,0
Andrew Raycroft,TOR,27,19,3.92,0.876,2,9,63,446,509,1,965,0,0,0,0
Jean-Sebastien Aubin,LAK,30,19,3.19,0.886,5,6,44,341,385,0,828,0,0,0,0
Craig Anderson,FLA,26,17,2.25,0.935,8,6,35,500,535,2,935,0,1,1,2
John Grahame,CAR,32,17,3.75,0.875,5,7,53,371,424,0,848,0,1,1,4
Curtis Sanford,VAN,28,16,2.83,0.898,4,3,32,281,313,0,679,0,1,1,2
Erik Ersberg,LAK,25,14,2.48,0.927,6,5,33,419,452,2,799,0,0,0,0
Stephen Valiquette,NYR,30,13,2.19,0.916,5,3,25,271,296,2,686,0,0,0,2
Jocelyn Thibault,BUF,32,12,3.31,0.869,3,4,28,186,214,2,507,0,0,0,0
Marc Denis,TBL,30,10,4.05,0.859,1,5,28,171,199,0,415,0,0,0,2
Dan Cloutier,LAK,31,9,3.43,0.887,2,4,28,219,247,0,489,0,0,0,2
Curtis Joseph,CGY,40,9,2.55,0.906,3,2,17,164,181,0,400,0,0,0,2
Kevin Weekes,NJD,32,9,2.97,0.894,2,2,17,143,160,0,343,0,0,0,2
Ondrej Pavelec,ATL,20,7,3.11,0.905,3,3,18,172,190,0,347,0,0,0,2
Jaroslav Halak,MTL,22,6,2.11,0.934,2,1,10,141,151,1,285,0,0,0,0
Brian Boucher,SJS,30,5,1.76,0.932,3,1,7,96,103,1,238,0,0,0,0
Corey Crawford,CHI,23,5,2.14,0.929,1,2,8,104,112,1,224,0,0,0,0
Curtis McElhinney,CGY,24,5,2.0,0.902,0,2,5,46,51,0,150,0,0,0,0
Manny Fernandez,BOS,33,4,3.93,0.832,2,2,16,79,95,1,244,0,0,0,0
Jonathan Bernier,LAK,19,4,4.03,0.864,1,3,16,102,118,0,238,0,0,0,0
Jim Howard,DET,23,4,2.13,0.926,0,2,7,88,95,0,197,0,0,0,0
Tuukka Rask,BOS,20,4,3.25,0.886,2,1,10,78,88,0,184,0,0,0,0
Mike Leighton,CAR,26,3,2.66,0.897,1,1,7,61,68,0,158,0,0,0,0
Scott Clemmensen,TOR,30,3,3.89,0.839,1,1,10,52,62,0,154,0,0,0,0
Jonathan Quick,LAK,21,3,3.84,0.855,1,2,9,53,62,0,141,0,0,0,0
Thomas Greiss,SJS,21,3,3.26,0.86,0,1,7,43,50,0,129,0,0,0,0
Dmitri Pätzold,SJS,24,3,5.51,0.8,0,0,4,16,20,0,44,0,0,0,0
Joey MacDonald,NYI,27,2,2.99,0.918,0,1,6,67,73,0,120,0,0,0,0
Drew MacIntyre,VAN,24,2,2.95,0.864,0,1,3,19,22,0,61,0,0,0,0
Marek Schwarz,STL,21,2,7.25,0.647,0,1,6,11,17,0,50,0,0,0,0
Tobias Stephan,DAL,23,1,1.98,0.95,0,0,2,38,40,0,61,0,0,0,0
David Aebischer,PHX,29,1,3.0,0.909,0,1,3,30,33,0,60,0,0,0,0
Brian Elliott,OTT,22,1,1.01,0.966,1,0,1,28,29,0,60,0,0,0,0
Pekka Rinne,NSH,25,1,0.0,1.0,0,0,0,8,8,0,29,0,0,0,0
Chris Beckford-Tseu,STL,23,1,2.25,0.889,0,0,1,8,9,0,27,0,0,0,0
Daniel Taylor,LAK,21,1,6.0,0.8,0,0,2,8,10,0,20,0,0,0,0
Tyler Weiman,COL,23,1,0.0,1.0,0,0,0,10,10,0,16,0,0,0,0
Daniel Lacosta,CBJ,21,1,0.0,1.0,0,0,0,5,5,0,13,0,0,0,0
