Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
Connor McDavid,F,80,44,79,123,45,22.03,0.12,0.55,0.988,1.538,75,26,0.5569620253164557,Playmaker
Johnny Gaudreau,F,82,40,75,115,26,18.34,0.03,0.488,0.915,1.402,10,9,0.5333333333333333,Playmaker
Jonathan Huberdeau,F,80,30,85,115,54,19.25,1.49,0.375,1.063,1.438,99,28,0.35294117647058826,Two-way
Leon Draisaitl,F,80,55,55,110,40,22.2,0.56,0.688,0.688,1.375,53,25,1.0,Sniper
Kirill Kaprizov,F,81,47,61,108,34,19.06,0.02,0.58,0.753,1.333,73,29,0.7704918032786885,Playmaker
Auston Matthews,F,73,60,46,106,18,20.36,0.03,0.822,0.63,1.452,67,62,1.3043478260869565,Sniper
Steven Stamkos,F,81,42,64,106,36,18.28,0.23,0.519,0.79,1.309,93,31,0.65625,Playmaker
Matthew Tkachuk,F,82,42,62,104,68,17.53,0.01,0.512,0.756,1.268,93,20,0.6774193548387096,Power-forward
J.T. Miller,F,80,32,67,99,47,21.04,2.05,0.4,0.838,1.238,172,56,0.47761194029850745,Power-forward
Mitchell Marner,F,72,35,62,97,16,20.52,1.5899999999999999,0.486,0.861,1.347,75,31,0.5645161290322581,Two-way
Roman Josi,D,80,23,73,96,46,25.32,0.42,0.288,0.913,1.2,66,133,0.3150684931506849,Offensive
Artemi Panarin,F,75,22,74,96,18,19.12,0.0,0.293,0.987,1.28,22,14,0.2972972972972973,Playmaker
Kyle Connor,F,79,47,46,93,4,21.46,1.23,0.595,0.582,1.177,32,23,1.0217391304347827,Sniper
Mikko Rantanen,F,75,36,56,92,56,20.58,0.01,0.48,0.747,1.227,58,43,0.6428571428571429,Playmaker
Patrick Kane,F,78,26,66,92,18,21.49,0.01,0.333,0.846,1.179,11,26,0.3939393939393939,Playmaker
Alexander Ovechkin,F,77,50,40,90,18,20.34,0.0,0.649,0.519,1.169,155,25,1.25,Power-forward
Aleksander Barkov,F,67,39,49,88,18,20.18,2.09,0.582,0.731,1.313,50,42,0.7959183673469388,Two-way
Nathan MacKinnon,F,65,32,56,88,42,21.03,0.03,0.492,0.862,1.354,68,39,0.5714285714285714,Playmaker
Nazem Kadri,F,71,28,59,87,71,19.14,0.28,0.394,0.831,1.225,52,19,0.4745762711864407,Playmaker
Matt Duchene,F,78,43,43,86,38,19.0,0.01,0.551,0.551,1.103,31,28,1.0,Sniper
Cale Makar,D,77,28,58,86,26,25.4,1.24,0.364,0.753,1.117,95,110,0.4827586206896552,Offensive
Kevin Fiala,F,82,33,52,85,52,17.38,0.55,0.402,0.634,1.037,52,21,0.6346153846153846,Playmaker
Victor Hedman,D,82,20,65,85,36,25.04,2.01,0.244,0.793,1.037,93,129,0.3076923076923077,All-around
Filip Forsberg,F,69,42,42,84,22,18.05,0.01,0.609,0.609,1.217,112,48,1.0,Sniper
Jake Guentzel,F,76,40,44,84,44,20.05,0.04,0.526,0.579,1.105,72,38,0.9090909090909091,Sniper
Sidney Crosby,F,69,31,53,84,32,19.58,0.06,0.449,0.768,1.217,50,37,0.5849056603773585,Playmaker
Elias Lindholm,F,82,42,40,82,22,19.56,2.07,0.512,0.488,1.0,66,52,1.05,Two-way
Vladimir Tarasenko,F,75,34,48,82,32,16.54,0.02,0.453,0.64,1.093,83,45,0.7083333333333334,Playmaker
Sam Reinhart,F,78,33,49,82,13,17.45,0.38,0.423,0.628,1.051,49,30,0.673469387755102,Playmaker
Sebastian Aho,F,79,37,44,81,38,18.57,1.54,0.468,0.557,1.025,76,23,0.8409090909090909,Two-way
Mika Zibanejad,F,81,29,52,81,12,19.37,1.5,0.358,0.642,1.0,67,47,0.5576923076923077,Two-way
Joe Pavelski,F,82,27,54,81,14,18.28,0.29,0.329,0.659,0.988,104,69,0.5,Playmaker
William Nylander,F,81,34,46,80,16,18.16,0.18,0.42,0.568,0.988,19,30,0.7391304347826086,Playmaker
Brad Marchand,F,70,32,48,80,97,19.14,1.38,0.457,0.686,1.143,78,20,0.6666666666666666,Two-way
Jason Robertson,F,74,41,38,79,22,18.06,0.0,0.554,0.514,1.068,50,24,1.0789473684210527,Sniper
Mats Zuccarello,F,70,24,55,79,24,18.35,0.04,0.343,0.786,1.129,36,33,0.43636363636363634,Playmaker
Alex DeBrincat,F,82,41,37,78,19,20.51,0.38,0.5,0.451,0.951,101,35,1.1081081081081081,Sniper
Evgeny Kuznetsov,F,79,24,54,78,44,20.16,1.07,0.304,0.684,0.987,42,25,0.4444444444444444,Playmaker
Chris Kreider,F,81,52,25,77,24,18.43,1.29,0.642,0.309,0.951,141,39,2.08,Sniper
David Pastrnak,F,72,40,37,77,20,18.36,0.01,0.556,0.514,1.069,63,14,1.0810810810810811,Sniper
Robert Thomas,F,72,20,57,77,16,18.46,1.35,0.278,0.792,1.069,13,25,0.3508771929824561,Two-way
Timo Meier,F,77,35,41,76,54,19.09,0.02,0.455,0.532,0.987,162,61,0.8536585365853658,Power-forward
Pavel Buchnevich,F,73,30,46,76,34,18.18,1.35,0.411,0.63,1.041,57,15,0.6521739130434783,Two-way
John Tavares,F,79,27,49,76,32,18.04,0.01,0.342,0.62,0.962,90,44,0.5510204081632653,Playmaker
Jordan Kyrou,F,74,27,48,75,20,16.34,0.02,0.365,0.649,1.014,6,23,0.5625,Playmaker
Adam Fox,D,78,11,63,74,26,23.54,2.08,0.141,0.808,0.949,30,128,0.1746031746031746,All-around
Jesper Bratt,F,76,26,47,73,16,17.25,0.02,0.342,0.618,0.961,26,30,0.5531914893617021,Playmaker
Roope Hintz,F,80,37,35,72,28,18.02,1.09,0.463,0.438,0.9,82,53,1.0571428571428572,Sniper
John Carlson,D,78,17,54,71,20,23.48,1.43,0.218,0.692,0.91,73,112,0.3148148148148148,All-around
Mark Scheifele,F,67,29,41,70,23,21.08,0.04,0.433,0.612,1.045,36,47,0.7073170731707317,Playmaker
Dylan Larkin,F,71,31,38,69,47,19.39,0.3,0.437,0.535,0.972,76,28,0.8157894736842105,Sniper
Andrei Svechnikov,F,78,30,39,69,79,17.15,0.0,0.385,0.5,0.885,189,15,0.7692307692307693,Power-forward
Nikita Kucherov,F,47,25,44,69,22,19.58,0.01,0.532,0.936,1.468,32,7,0.5681818181818182,Playmaker
Tage Thompson,F,78,38,30,68,37,17.52,0.5,0.487,0.385,0.872,66,25,1.2666666666666666,Sniper
Elias Pettersson,F,80,32,36,68,12,18.35,0.37,0.4,0.45,0.85,49,43,0.8888888888888888,Sniper
Kristopher Letang,D,78,10,58,68,49,25.46,1.25,0.128,0.744,0.872,171,122,0.1724137931034483,Offensive
Morgan Rielly,D,82,10,58,68,40,23.44,1.41,0.122,0.707,0.829,92,87,0.1724137931034483,All-around
Quinn Hughes,D,76,8,60,68,28,25.14,1.12,0.105,0.789,0.895,19,56,0.13333333333333333,Offensive
Troy Terry,F,75,37,30,67,26,18.14,0.01,0.493,0.4,0.893,6,27,1.2333333333333334,Sniper
Brady Tkachuk,F,79,30,37,67,117,18.47,0.04,0.38,0.468,0.848,270,25,0.8108108108108109,Power-forward
Anze Kopitar,F,81,19,48,67,14,20.46,1.42,0.235,0.593,0.827,72,71,0.3958333333333333,Two-way
Jonathan Marchessault,F,76,30,36,66,36,17.34,0.01,0.395,0.474,0.868,61,17,0.8333333333333334,Sniper
Ryan Hartman,F,82,34,31,65,95,18.1,1.01,0.415,0.378,0.793,72,48,1.096774193548387,Sniper
Patrice Bergeron,F,73,25,40,65,32,18.1,1.4,0.342,0.548,0.89,78,45,0.625,Two-way
Teuvo Teräväinen,F,77,22,43,65,24,17.41,1.35,0.286,0.558,0.844,15,30,0.5116279069767442,Two-way
Claude Giroux,F,75,21,44,65,26,19.04,0.49,0.28,0.587,0.867,68,16,0.4772727272727273,Playmaker
Tomas Hertl,F,82,30,34,64,30,19.56,1.32,0.366,0.415,0.78,105,57,0.8823529411764706,Two-way
Chandler Stephenson,F,79,21,43,64,26,19.17,1.33,0.266,0.544,0.81,68,44,0.4883720930232558,Two-way
Mikael Granlund,F,80,11,53,64,33,20.24,1.52,0.138,0.663,0.8,92,45,0.20754716981132076,Two-way
Jeff Skinner,F,80,33,30,63,42,17.06,0.0,0.413,0.375,0.788,29,20,1.1,Sniper
Clayton Keller,F,67,28,35,63,28,20.08,1.09,0.418,0.522,0.94,17,31,0.8,Sniper
Ryan Johansen,F,79,26,37,63,53,16.33,0.11,0.329,0.468,0.797,72,35,0.7027027027027027,Playmaker
Michael Bunting,F,79,23,40,63,80,15.32,0.0,0.291,0.506,0.797,85,21,0.575,Playmaker
Tyler Bertuzzi,F,68,30,32,62,47,19.52,0.43,0.441,0.471,0.912,65,41,0.9375,Sniper
Jakub Vorácek,F,79,6,56,62,44,17.27,0.01,0.076,0.709,0.785,27,28,0.10714285714285714,Playmaker
Trevor Zegras,F,75,23,38,61,50,17.54,0.0,0.307,0.507,0.813,56,27,0.6052631578947368,Playmaker
Andre Burakovsky,F,80,22,39,61,18,16.15,0.0,0.275,0.488,0.763,49,34,0.5641025641025641,Playmaker
Nicholas Suzuki,F,82,21,40,61,30,20.3,1.3,0.256,0.488,0.744,89,62,0.525,Playmaker
Taylor Hall,F,81,20,41,61,42,16.24,0.01,0.247,0.506,0.753,55,36,0.4878048780487805,Playmaker
Pierre-Luc Dubois,F,81,28,32,60,106,18.55,0.01,0.346,0.395,0.741,112,43,0.875,Power-forward
Ivan Barbashev,F,81,26,34,60,40,16.26,1.03,0.321,0.42,0.741,160,28,0.7647058823529411,Power-forward
Nico Hischier,F,70,21,39,60,17,19.2,1.42,0.3,0.557,0.857,50,48,0.5384615384615384,Two-way
Blake Wheeler,F,65,17,43,60,36,19.32,0.17,0.262,0.662,0.923,62,37,0.3953488372093023,Playmaker
Brock Nelson,F,72,37,22,59,33,17.4,0.43,0.514,0.306,0.819,31,43,1.6818181818181819,Sniper
Gabriel Landeskog,F,51,30,29,59,78,20.19,0.04,0.588,0.569,1.157,94,34,1.0344827586206897,Power-forward
Alex Killorn,F,82,25,34,59,66,18.41,1.45,0.305,0.415,0.72,88,26,0.7352941176470589,Two-way
Nick Schmaltz,F,63,23,36,59,14,18.14,0.29,0.365,0.571,0.937,15,28,0.6388888888888888,Playmaker
Mathew Barzal,F,73,15,44,59,18,18.01,0.01,0.205,0.603,0.808,36,17,0.3409090909090909,Playmaker
Anthony Duclair,F,74,31,27,58,30,14.59,0.06,0.419,0.365,0.784,38,16,1.1481481481481481,Sniper
Brayden Point,F,66,28,30,58,33,19.27,0.01,0.424,0.455,0.879,75,27,0.9333333333333333,Sniper
Bryan Rust,F,60,24,34,58,14,18.46,0.46,0.4,0.567,0.967,43,24,0.7058823529411765,Playmaker
Brayden Schenn,F,62,24,34,58,33,17.46,0.29,0.387,0.548,0.935,119,17,0.7058823529411765,Playmaker
Tim Stützle,F,79,22,36,58,37,18.24,0.07,0.278,0.456,0.734,125,52,0.6111111111111112,Playmaker
Ryan O'Reilly,F,78,21,37,58,12,19.04,1.51,0.269,0.474,0.744,20,38,0.5675675675675675,Two-way
Oliver Bjorkstrand,F,80,28,29,57,16,17.56,0.03,0.35,0.363,0.713,85,31,0.9655172413793104,Sniper
David Perron,F,67,27,30,57,48,16.59,0.0,0.403,0.448,0.851,80,11,0.9,Sniper
Lucas Raymond,F,82,23,34,57,16,18.09,0.01,0.28,0.415,0.695,62,24,0.6764705882352942,Playmaker
Aaron Ekblad,D,61,15,42,57,26,24.54,2.4699999999999998,0.246,0.689,0.934,62,69,0.35714285714285715,All-around
Devon Toews,D,66,13,44,57,20,25.22,2.4699999999999998,0.197,0.667,0.864,54,85,0.29545454545454547,All-around
Jack Hughes,F,49,26,30,56,0,19.33,0.04,0.531,0.612,1.143,6,15,0.8666666666666667,Sniper
Patrik Laine,F,56,26,30,56,24,18.49,0.0,0.464,0.536,1.0,34,13,0.8666666666666667,Sniper
Logan Couture,F,77,23,33,56,18,18.55,1.54,0.299,0.429,0.727,92,58,0.696969696969697,Two-way
Charlie McAvoy,D,78,10,46,56,66,24.39,2.09,0.128,0.59,0.718,155,129,0.21739130434782608,All-around
Joshua Norris,F,66,35,20,55,16,18.34,0.34,0.53,0.303,0.833,79,44,1.75,Sniper
Andrew Mangiapane,F,82,35,20,55,38,15.43,1.17,0.427,0.244,0.671,73,32,1.75,Sniper
Nikolaj Ehlers,F,62,28,27,55,20,18.04,0.0,0.452,0.435,0.887,32,27,1.037037037037037,Sniper
Carter Verhaeghe,F,78,24,31,55,48,16.03,0.18,0.308,0.397,0.705,50,16,0.7741935483870968,Playmaker
Adrian Kempe,F,78,35,19,54,46,18.35,1.28,0.449,0.244,0.692,111,28,1.8421052631578947,Sniper
Zach Hyman,F,76,27,27,54,36,19.27,1.46,0.355,0.355,0.711,74,31,1.0,Two-way
Ryan Strome,F,74,21,33,54,69,18.19,0.32,0.284,0.446,0.73,41,19,0.6363636363636364,Playmaker
Brent Burns,D,82,10,44,54,42,26.08,2.42,0.122,0.537,0.659,55,150,0.22727272727272727,All-around
Andrew Copp,F,72,21,32,53,16,19.1,2.17,0.292,0.444,0.736,45,41,0.65625,Two-way
Gustav Nyquist,F,82,18,35,53,26,17.5,1.46,0.22,0.427,0.646,41,51,0.5142857142857142,Two-way
Rasmus Dahlin,D,80,13,40,53,68,24.0,0.54,0.163,0.5,0.663,121,91,0.325,Offensive
Bo Horvat,F,70,31,21,52,40,19.3,1.1,0.443,0.3,0.743,96,45,1.4761904761904763,Sniper
Valeri Nichushkin,F,62,25,27,52,14,19.01,1.44,0.403,0.435,0.839,89,27,0.9259259259259259,Two-way
Tom Wilson,F,78,24,28,52,98,18.34,1.3599999999999999,0.308,0.359,0.667,240,55,0.8571428571428571,Power-forward
Conor Garland,F,77,19,33,52,36,16.24,0.02,0.247,0.429,0.675,52,22,0.5757575757575758,Playmaker
Travis Konecny,F,79,16,36,52,77,17.36,0.1,0.203,0.456,0.658,80,34,0.4444444444444444,Playmaker
Shea Theodore,D,78,14,38,52,24,23.08,0.18,0.179,0.487,0.667,37,97,0.3684210526315789,Offensive
Phil Kessel,F,82,8,44,52,40,16.4,0.01,0.098,0.537,0.634,6,21,0.18181818181818182,Playmaker
Phillip Danault,F,79,27,24,51,38,18.07,1.42,0.342,0.304,0.646,74,49,1.125,Two-way
Vincent Trocheck,F,81,21,30,51,78,17.52,1.46,0.259,0.37,0.63,185,46,0.7,Power-forward
Shayne Gostisbehere,D,82,14,37,51,26,22.11,0.51,0.171,0.451,0.622,60,115,0.3783783783783784,Offensive
Noah Dobson,D,80,13,38,51,18,21.27,0.4,0.163,0.475,0.638,78,154,0.34210526315789475,Offensive
Alexander Kerfoot,F,82,13,38,51,20,15.12,1.43,0.159,0.463,0.622,75,65,0.34210526315789475,Two-way
